quote_id,tag_id
0,0
0,1
0,2
0,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
3,14
4,15
4,6
5,17
5,18
5,19
6,7
6,21
7,22
7,23
7,6
7,25
8,26
9,14
9,28
9,29
10,30
10,31
10,6
10,7
10,21
10,35
11,36
11,30
12,38
12,39
13,21
14,41
15,7
15,43
16,44
16,45
16,46
16,47
16,6
16,21
16,50
16,51
17,52
17,53
17,54
17,21
17,56
17,57
18,12
18,59
18,30
18,52
18,7
19,63
19,7
19,65
19,66
19,67
20,21
20,69
21,70
22,71
23,14
23,73
24,14
25,75
25,7
25,77
26,78
26,79
28,80
29,81
30,82
30,83
30,84
31,85
32,52
33,87
33,25
34,89
34,6
35,91
35,92
35,14
36,94
36,83
37,96
37,82
37,98
37,99
38,12
38,101
39,6
40,103
40,104
40,83
40,106
41,12
41,6
41,83
41,110
43,111
43,21
44,7
44,29
45,21
46,71
47,117
47,6
48,85
49,21
50,52
50,21
51,123
51,124
51,125
52,71
53,81
54,12
54,129
55,130
56,131
56,132
56,29
57,12
57,30
57,136
58,6
59,6
59,7
59,77
60,141
61,142
62,14
63,21
64,145
64,146
64,147
64,148
64,149
64,150
65,151
66,152
66,153
67,7
67,155
68,156
69,157
70,52
70,21
71,14
72,14
72,162
72,2
73,14
73,51
74,166
74,12
74,168
74,83
74,153
75,14
75,172
75,173
75,174
75,175
75,176
76,177
76,178
76,179
76,180
76,181
76,117
76,6
76,184
77,14
77,186
79,12
79,13
79,83
80,190
81,14
81,21
81,193
81,194
82,195
83,12
83,101
83,83
84,199
84,200
85,201
85,202
85,203
86,204
87,89
87,7
88,207
88,176
89,209
89,210
89,73
89,212
90,176
91,89
91,7
92,216
92,21
93,36
94,7
95,220
96,12
96,78
96,223
96,224
96,225
96,226
96,153
97,176
98,6
99,12
99,231
